id_parcours,Date_Reservation,Client_Prenom,Client_Nom,Age_client,Cat_CSP,Transport_ID,Ville_départ,Ville_dépose,Distance_(km),Date_Prise_véhicule,Date_Restitution_véhicule,Conducteur,Catégorie_véhicule,Modèle_véhicule,Immatriculation,Sinistre,Type_sinistre,Assurance
3474,2010-02-05,Crystal,Willis,78,Cadre,25,Strasbourg,LeMans,175,2003-07-20,1991-11-08,Cassandra Warren,Electrique,Hyundai,XX17YY,0,NON RESPONSABLE,ALLIANZ
3479,1996-09-14,Jason,Cruz,68,Non Cadre,85,Lille,Marseille,215,2018-02-24,1996-04-18,Misty Floyd,Citadine,Fiat,XX57YY,1,RESPONSABLE,GROUPAMA
4288,2004-07-20,Julie,Ward,30,Non Cadre,32,Lyon,Bordeaux,961,2010-02-05,2019-07-30,Brittany Fletcher,Citadine,Hyundai,XX79YY,1,RESPONSABLE,AXA
1332,1992-09-05,Mark,Kelley,62,Non Cadre,1,Amiens,Clermont,263,2017-07-01,2011-02-24,Clarence Mora,Berline,Kia,XX99YY,0,RESPONSABLE,AXA
3779,2001-08-06,Benjamin,Walsh,37,Non Cadre,98,Lille,Bordeaux,799,1998-03-12,2011-09-30,Mr. Richard Webster,Berline,Hyundai,XX87YY,1,RESPONSABLE,AXA
4094,2019-08-12,Joshua,Lewis,68,Cadre,87,Nantes,Marseille,272,2019-07-09,1998-04-12,Stephanie Clark,Citadine,Honda,XX57YY,0,NON RESPONSABLE,ALLIANZ
2671,2004-04-10,John,Martinez,26,Non Cadre,57,Amiens,LeHavre,713,2012-05-08,2007-04-13,Christine Goodwin,Citadine,Dacia,XX45YY,0,RESPONSABLE,ALLIANZ
976,2014-05-01,Jason,Cox,65,Non Cadre,33,Lyon,Bordeaux,850,2009-07-18,1996-06-12,Shawn Simmons,Electrique,Audi,XX58YY,1,NON RESPONSABLE,AXA
3130,2018-01-13,Chelsea,Williams,61,Cadre,51,Paris,Nice,964,2016-06-28,2013-11-26,Samantha Ayala,Electrique,Honda,XX57YY,0,RESPONSABLE,AXA
2788,1997-10-18,Ian,Smith,98,Cadre,97,Lille,Bordeaux,19,2014-04-24,2006-02-06,Jane Butler,Citadine,Fiat,XX82YY,0,NON RESPONSABLE,GENERALI
2322,2005-09-10,Karen,Jacobs,74,Cadre,82,Amiens,Nice,966,2013-03-30,2018-12-02,Kim Weber,Electrique,Dacia,XX62YY,1,RESPONSABLE,GENERALI
4051,2021-07-07,Tamara,Gordon,29,Non Cadre,37,Amiens,LeMans,533,2000-08-24,2009-04-27,Robert Mason,Citadine,Dacia,XX84YY,0,NON RESPONSABLE,GROUPAMA
1803,2012-07-03,Sheryl,Wright,78,Cadre,4,Nantes,Clermont,941,2016-05-11,2003-09-22,Erin Francis,Berline,Hyundai,XX25YY,1,NON RESPONSABLE,GENERALI
1150,2018-10-31,Dorothy,Yates,51,Cadre,20,Nantes,Clermont,515,2014-10-26,1992-02-20,Nicole Garza,Electrique,Fiat,XX49YY,0,NON RESPONSABLE,GENERALI
2964,2000-04-03,Steven,Williams,1,Cadre,49,Lyon,Nice,839,1997-12-22,2012-01-25,Amy Manning,Electrique,Audi,XX30YY,0,RESPONSABLE,AXA
836,2001-09-24,Misty,Cooper,87,Cadre,65,Strasbourg,Marseille,372,2011-09-07,2016-07-13,Susan Robles,Citadine,Honda,XX26YY,1,RESPONSABLE,GENERALI
3080,2012-04-10,Bridget,Smith,98,Cadre,49,Lille,LeMans,338,1997-04-07,2005-11-14,John Gay,Citadine,Audi,XX18YY,0,RESPONSABLE,AXA
1203,1994-03-22,Beth,Alexander,9,Cadre,75,Nantes,LeHavre,57,2015-11-24,1993-12-04,Michael Lindsey,Citadine,Audi,XX50YY,1,RESPONSABLE,GROUPAMA
4191,1999-08-15,Jonathan,Velazquez,34,Non Cadre,21,Amiens,LeMans,840,2006-10-18,2019-10-17,Phyllis Houston,Electrique,Hyundai,XX17YY,1,RESPONSABLE,GROUPAMA
3475,2021-08-05,David,Carter,92,Non Cadre,63,Lille,LeHavre,852,1994-10-24,2006-01-10,Yolanda Larsen,Berline,Dacia,XX35YY,1,RESPONSABLE,GENERALI
3374,2006-08-21,Monica,Weiss,11,Non Cadre,57,Lyon,Marseille,224,2016-12-04,2001-11-02,Nancy Ortiz,Electrique,Audi,XX48YY,0,NON RESPONSABLE,AXA
4350,2012-10-31,Christine,Jones,14,Non Cadre,34,Nantes,LeHavre,729,2011-06-20,2018-04-08,Janet Thompson,Berline,Fiat,XX37YY,1,NON RESPONSABLE,AXA
4838,2007-06-04,Michelle,Collins,51,Non Cadre,58,Lyon,LeMans,187,2007-05-21,2003-10-20,Kelsey Cohen,Citadine,Mazda,XX30YY,1,RESPONSABLE,ALLIANZ
2294,2009-04-18,Richard,Crane,46,Non Cadre,33,Amiens,Nice,634,1997-09-13,1995-11-25,Daniel Nelson,Citadine,Dacia,XX56YY,1,RESPONSABLE,GENERALI
3944,2017-12-13,Casey,Sandoval,20,Non Cadre,40,Nantes,Clermont,589,2012-04-08,2015-06-25,Richard Anderson,Electrique,Fiat,XX36YY,0,NON RESPONSABLE,GROUPAMA
1646,2009-11-04,Kelly,Whitaker,43,Non Cadre,72,Lille,Marseille,826,1995-05-18,2021-04-01,Meagan Fernandez,Citadine,Dacia,XX30YY,1,RESPONSABLE,GENERALI
2932,1999-06-10,Anthony,Smith,27,Cadre,87,Amiens,Bordeaux,701,2008-09-04,2015-03-29,Shelia Scott,Berline,Audi,XX53YY,1,NON RESPONSABLE,ALLIANZ
2191,1991-11-03,Dr.,Colleen Murray,54,Cadre,83,Paris,LeHavre,190,2002-10-04,2009-12-15,Monica Shaw,Berline,Tesla,XX40YY,1,RESPONSABLE,GROUPAMA
2298,2017-07-08,Jose,Wallace,81,Cadre,9,Paris,Marseille,412,2001-10-20,2017-12-22,Michael Dalton,Citadine,Honda,XX37YY,1,RESPONSABLE,GENERALI
3495,2010-05-22,Brittany,Jones DDS,93,Cadre,58,Nantes,Nice,723,2019-05-03,2020-04-20,Melissa Brown,Electrique,Honda,XX32YY,0,NON RESPONSABLE,AXA
2144,1997-01-31,Anthony,Johnson,15,Non Cadre,84,Paris,Nice,223,2012-06-06,2012-09-14,Angela Gibson,Electrique,Audi,XX83YY,0,NON RESPONSABLE,GENERALI
3325,2013-12-24,Alexis,Matthews,43,Non Cadre,45,Strasbourg,Marseille,571,1996-12-05,2008-01-20,Larry Beard,Electrique,Dacia,XX47YY,1,NON RESPONSABLE,ALLIANZ
580,2006-08-19,Steven,Lee,58,Cadre,58,Lyon,Bordeaux,253,2009-04-04,1992-12-11,Sandra Young,Electrique,Fiat,XX55YY,1,NON RESPONSABLE,ALLIANZ
1196,1998-10-29,Angelica,Jackson,54,Non Cadre,2,Lyon,LeHavre,633,2010-08-23,2009-03-31,Janet Williams,Berline,Kia,XX79YY,1,NON RESPONSABLE,GENERALI
317,2021-08-23,Megan,Willis,48,Non Cadre,3,Lyon,Clermont,278,2009-04-16,2000-12-24,Wendy Stone,Berline,Kia,XX6YY,0,NON RESPONSABLE,GENERALI
1762,2009-04-02,Sherry,Lowe,24,Non Cadre,99,Amiens,Clermont,42,2008-09-26,2011-03-11,Michael Taylor,Citadine,Hyundai,XX66YY,1,NON RESPONSABLE,AXA
4485,2020-10-29,Mikayla,Martin,54,Cadre,18,Nantes,Bordeaux,232,1994-12-04,1997-09-13,Gregory Davis,Citadine,Honda,XX77YY,1,NON RESPONSABLE,ALLIANZ
3564,2000-07-29,Suzanne,Mccann,40,Cadre,49,Amiens,Bordeaux,269,2015-01-07,2019-02-11,Lawrence Morales,Berline,Hyundai,XX11YY,0,NON RESPONSABLE,GENERALI
1652,2008-04-27,Derek,Rogers,74,Cadre,87,Lyon,Marseille,542,2016-05-19,2016-09-17,Justin Avila,Citadine,Mazda,XX2YY,0,RESPONSABLE,GROUPAMA
468,2014-06-19,Erica,Anderson,34,Non Cadre,74,Amiens,Marseille,776,1993-09-29,2019-03-07,William Mcdonald,Electrique,Honda,XX32YY,0,RESPONSABLE,AXA
3046,1998-12-04,Sue,Berry,24,Cadre,57,Paris,Nice,968,2007-11-04,1995-08-20,John Phillips,Electrique,Fiat,XX49YY,0,NON RESPONSABLE,GROUPAMA
15,1996-02-29,Shane,Jackson,44,Cadre,16,Strasbourg,LeHavre,979,2018-11-13,1994-12-01,Terri Stanton,Citadine,Tesla,XX64YY,1,NON RESPONSABLE,ALLIANZ
925,2006-01-03,Renee,Phillips,95,Non Cadre,76,Nantes,Bordeaux,256,2010-07-10,2005-04-13,Stephanie Willis,Citadine,Audi,XX15YY,0,RESPONSABLE,AXA
4683,2017-07-03,David,Fletcher,0,Cadre,16,Lyon,Clermont,889,1992-09-16,1996-11-13,Jody Smith,Berline,Dacia,XX28YY,0,NON RESPONSABLE,GROUPAMA
3653,1992-08-23,Raymond,Porter,55,Non Cadre,37,Strasbourg,Marseille,628,1995-04-20,1992-05-14,Dawn Kaiser,Electrique,Mazda,XX80YY,0,NON RESPONSABLE,AXA
2762,2020-12-24,Amber,Rodriguez,57,Non Cadre,39,Paris,LeHavre,318,2021-04-03,2019-12-14,Karina Montoya,Electrique,Audi,XX42YY,1,RESPONSABLE,GENERALI
1010,2014-05-12,Robyn,Davis,91,Cadre,14,Paris,Bordeaux,595,1998-06-17,2008-01-12,Brian Rose,Electrique,Hyundai,XX97YY,0,NON RESPONSABLE,GENERALI
3350,1992-11-26,Charles,Greer,20,Non Cadre,11,Paris,LeHavre,603,2000-10-15,1997-04-07,Melissa Joseph,Berline,Audi,XX1YY,0,RESPONSABLE,ALLIANZ
1969,1997-11-09,Ricky,Haney,76,Cadre,72,Nantes,Bordeaux,57,2006-02-21,1993-05-29,Mary Brown,Citadine,Tesla,XX1YY,0,RESPONSABLE,GROUPAMA
1269,2006-11-24,Patrick,Meyer,52,Non Cadre,13,Nantes,Marseille,216,2021-06-29,2011-05-06,Wanda Miller,Citadine,Tesla,XX0YY,1,NON RESPONSABLE,AXA
2758,1996-08-30,Cory,Chavez,91,Cadre,72,Lille,Bordeaux,116,1995-02-24,2020-09-11,Ashley Patrick,Berline,Dacia,XX12YY,1,NON RESPONSABLE,GENERALI
1218,2017-10-29,Ruben,Preston,25,Non Cadre,56,Strasbourg,Marseille,943,2007-01-05,1994-04-11,Jill Collins,Citadine,Dacia,XX0YY,1,NON RESPONSABLE,GROUPAMA
3805,2015-11-24,Brian,Lopez,26,Cadre,74,Lyon,LeMans,861,2017-01-06,2004-08-12,Sean Washington,Berline,Tesla,XX23YY,0,NON RESPONSABLE,GROUPAMA
44,1997-05-14,Reginald,Whitney,34,Cadre,11,Amiens,Clermont,629,2003-07-15,1992-09-27,Paul Clark,Electrique,Fiat,XX17YY,0,RESPONSABLE,GENERALI
2117,2020-02-07,Megan,Smith,65,Cadre,8,Nantes,LeMans,175,2011-07-13,1998-05-08,Joshua Eaton,Citadine,Dacia,XX22YY,1,NON RESPONSABLE,ALLIANZ
1146,1994-10-04,Jaime,Kane,36,Cadre,48,Nantes,Clermont,358,2005-03-14,2008-08-15,Linda Martinez,Citadine,Tesla,XX90YY,1,RESPONSABLE,AXA
4121,2003-12-03,Carl,Cline,89,Non Cadre,38,Lyon,Marseille,607,2020-05-13,1999-01-14,David Elliott,Berline,Hyundai,XX59YY,0,RESPONSABLE,GROUPAMA
2105,2001-08-01,Bradley,Jones,55,Non Cadre,60,Nantes,LeMans,901,2009-08-31,2015-12-17,Robin Stone,Berline,Fiat,XX22YY,0,RESPONSABLE,GROUPAMA
1159,1996-05-06,Luis,Jensen,96,Non Cadre,42,Lyon,Marseille,414,2001-11-12,2004-10-18,Kenneth Maldonado,Berline,Tesla,XX7YY,0,NON RESPONSABLE,GROUPAMA
832,1996-08-18,Shawn,Chase,80,Non Cadre,40,Paris,Marseille,668,2014-06-05,2018-05-07,Heather Scott,Citadine,Tesla,XX32YY,1,NON RESPONSABLE,AXA
3942,2000-09-06,Marcus,Lane,76,Cadre,41,Paris,Bordeaux,844,2017-08-17,1998-04-30,Jennifer Colon,Berline,Kia,XX42YY,0,NON RESPONSABLE,AXA
889,1994-06-23,Savannah,Norman,94,Non Cadre,41,Paris,LeMans,965,2005-12-01,2003-06-03,Carl Castillo,Electrique,Audi,XX86YY,0,NON RESPONSABLE,AXA
1425,2017-10-13,Angel,Jackson,55,Non Cadre,81,Strasbourg,Marseille,208,2007-08-29,1996-06-16,Logan Robles,Citadine,Fiat,XX91YY,1,NON RESPONSABLE,GENERALI
335,2017-07-30,Julia,Jordan,97,Cadre,53,Lyon,Marseille,648,2002-07-02,1999-03-14,Christina Morris,Electrique,Dacia,XX11YY,1,NON RESPONSABLE,ALLIANZ
4243,1993-12-14,Matthew,Wood,32,Cadre,63,Nantes,LeHavre,520,2017-03-06,2010-10-07,Paula Hull,Electrique,Honda,XX63YY,1,RESPONSABLE,GROUPAMA
4535,2000-08-31,Valerie,Brown,70,Cadre,1,Strasbourg,Clermont,802,2009-10-25,2006-04-28,Erica Gordon,Citadine,Fiat,XX8YY,1,NON RESPONSABLE,GROUPAMA
1034,2003-11-13,Jessica,Kelly,88,Non Cadre,49,Lille,LeHavre,94,2016-04-15,1994-05-13,Kelsey Murray,Electrique,Kia,XX48YY,1,RESPONSABLE,AXA
2620,2009-07-07,April,Davis,87,Non Cadre,65,Paris,LeMans,123,2001-03-18,2009-02-27,Misty Jackson DDS,Berline,Honda,XX60YY,1,NON RESPONSABLE,AXA
4221,2004-11-06,Jacob,Martin,72,Cadre,50,Lille,Nice,511,2016-04-13,2002-09-23,Christine Bowers,Electrique,Hyundai,XX92YY,0,RESPONSABLE,GROUPAMA
3593,1992-02-09,Derrick,Smith,11,Non Cadre,15,Paris,Bordeaux,515,2005-09-04,2000-12-05,Joshua Howell,Electrique,Kia,XX90YY,1,RESPONSABLE,ALLIANZ
1691,2009-11-28,Samantha,Christensen,22,Non Cadre,33,Nantes,Clermont,2,1994-09-29,2008-07-01,Jessica Alvarado,Citadine,Tesla,XX30YY,1,NON RESPONSABLE,AXA
4230,1994-07-20,Lisa,Williams,35,Non Cadre,5,Amiens,LeMans,617,2019-02-12,2007-01-30,Erika White,Citadine,Hyundai,XX22YY,0,NON RESPONSABLE,AXA
1161,2019-06-05,Stacey,Wheeler,15,Non Cadre,32,Amiens,Marseille,443,2013-11-21,2006-04-23,Gary Smith,Electrique,Honda,XX44YY,1,NON RESPONSABLE,GROUPAMA
4365,2004-08-10,Brian,Brown,34,Non Cadre,55,Nantes,LeMans,117,2000-12-20,2006-10-02,Darrell Lyons,Citadine,Kia,XX80YY,0,NON RESPONSABLE,GENERALI
2012,2017-07-09,Christy,Jackson,89,Non Cadre,70,Lyon,LeMans,409,2014-07-27,2007-07-25,Deanna Moore,Electrique,Audi,XX0YY,1,RESPONSABLE,AXA
4311,2017-11-21,Jeffery,Brown,74,Non Cadre,87,Paris,Clermont,598,2003-07-16,1992-12-23,Jonathan Peters,Berline,Dacia,XX59YY,1,RESPONSABLE,ALLIANZ
1859,2016-12-09,Christine,Harrington,32,Cadre,5,Nantes,LeHavre,253,1998-08-10,2012-04-04,Jessica Bray,Electrique,Audi,XX93YY,1,RESPONSABLE,ALLIANZ
3880,1995-01-29,Taylor,Ferguson,53,Non Cadre,10,Nantes,Nice,639,1997-08-15,1998-06-18,Michael Sandoval,Electrique,Hyundai,XX89YY,0,RESPONSABLE,AXA
2736,1995-01-26,Heather,Higgins,24,Non Cadre,94,Nantes,Bordeaux,490,2005-03-17,1992-01-01,Nicholas Parker,Citadine,Mazda,XX7YY,1,RESPONSABLE,GENERALI
2554,1996-07-27,Tracy,Hall,25,Cadre,56,Strasbourg,Clermont,866,1997-12-03,2006-05-14,Tara Ramos,Electrique,Mazda,XX66YY,0,NON RESPONSABLE,ALLIANZ
3238,1995-07-17,Candace,Payne,39,Non Cadre,80,Lille,LeMans,270,2015-03-02,2003-11-06,Lisa Morgan,Citadine,Hyundai,XX17YY,0,RESPONSABLE,AXA
560,2012-02-29,Amy,Farmer,8,Cadre,58,Paris,LeMans,412,2010-10-01,1996-11-27,Susan Curtis,Berline,Kia,XX26YY,0,NON RESPONSABLE,GENERALI
3215,2001-10-16,Travis,Jones,96,Cadre,96,Amiens,Nice,440,1997-12-15,2018-07-31,John James,Berline,Mazda,XX26YY,1,RESPONSABLE,GROUPAMA
1779,2005-05-07,Theresa,Hopkins,79,Non Cadre,2,Lyon,LeHavre,837,2004-03-17,2003-12-28,Erin Small,Electrique,Hyundai,XX94YY,0,RESPONSABLE,GROUPAMA
4073,2002-01-02,Kevin,Burns,68,Cadre,26,Strasbourg,Bordeaux,538,2005-10-18,1993-10-02,Robin Reynolds,Electrique,Tesla,XX63YY,1,RESPONSABLE,GENERALI
2753,2001-08-20,Jeffrey,Allen,27,Non Cadre,82,Nantes,Bordeaux,335,1997-12-13,1993-05-03,Jacqueline Hayden,Electrique,Hyundai,XX89YY,1,NON RESPONSABLE,ALLIANZ
2925,2008-02-18,Nathan,Lewis DVM,98,Non Cadre,14,Strasbourg,Clermont,573,1998-11-03,2000-10-25,Matthew Guerra,Electrique,Audi,XX96YY,1,NON RESPONSABLE,GENERALI
2099,2021-02-04,Robin,Norton,91,Cadre,49,Paris,Nice,838,2018-03-27,2002-11-24,Dorothy Price,Citadine,Fiat,XX71YY,1,RESPONSABLE,GROUPAMA
2272,2016-11-28,Gina,Fleming,54,Non Cadre,19,Strasbourg,Marseille,487,2008-02-03,1997-08-24,Kevin Mclaughlin,Citadine,Audi,XX90YY,1,RESPONSABLE,ALLIANZ
2283,2019-02-25,Keith,Henderson,7,Cadre,53,Lille,Nice,805,1998-11-21,1998-09-13,Cindy Thomas,Electrique,Tesla,XX20YY,1,NON RESPONSABLE,AXA
